projectIndicator,projectNo,Score,program,Current Estimate ,r_curr_jan_2016,r_curr_feb_2016,r_curr_mar_2016,r_curr_apr_2016,r_curr_may_2016,r_curr_jun_2016,r_curr_jul_2016,r_curr_aug_2016,r_curr_sep_2016,r_curr_oct_2016,r_curr_nov_2016,r_curr_dec_2016,Roche,e_curr_jan_2016,e_curr_feb_2016,e_curr_mar_2016,e_curr_apr_2016,e_curr_may_2016,e_curr_jun_2016,e_curr_jul_2016,e_curr_aug_2016,e_curr_sep_2016,e_curr_oct_2016,e_curr_nov_2016,e_curr_dec_2016,External,Total,,r_t3_jan_2016 ,r_t3_feb_2016,r_t3_mar_2016,r_t3_apr_2016,r_t3_may_2016,r_t3_jun_2016,r_t3_jul_2016,r_t3_aug_2016,r_t3_sep_2016,r_t3_oct_2016,r_t3_nov_2016,r_t3_dec_2016,Roche,e_t3_jan_2016 ,e_t3_feb_2016,e_t3_mar_2016,e_t3_apr_2016,e_t3_may_2016,e_t3_jun_2016,e_t3_jul_2016,e_t3_aug_2016,e_t3_sep_2016,e_t3_oct_2016,e_t3_nov_2016,e_t3_dec_2016,External
,97040,24.3,Launch and Commercial Excellence,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,97054,15.6,Reliability and Value,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,0
,98022,0,ACCR,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.31,,,,,,,,,,,,,0
,98029,0,ACCR,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.09,0.09,0.09,0.09,0.09,0.09,0,0,0,0,0,0.05,,,,,,,,,,,,,0
,98039,0,Reliable,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.46,,,,,,,,,,,,,0
,74385,6.5,Reliability and Value,$0 ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,2.28,,,,,,,,,,,,,0
Individual Project,74386,#N/A,#N/A,$0 ,0.25,0.25,0.25,0.2,0.2,0.2,0,0,0,0,0,0,0.11,,,,,,,,,,,,,0,0.11,,0.44,0.44,0.37,0.37,0.37,0.37,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Project,74428,N/A,Launch and Commercial Excellence,$0 ,0,0,0,0,0,0,0,0,0,4,4,4,1,0,0,0,0,0,0,0,0,0,8,8,8,2,3,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,74432,16.5,Fit for Purpose,$0 ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,,,,,,,,,,,,,0
Individual Project,74449,#N/A,#N/A,$0 ,0,0,0,0,0,0,0,0,0,0.19,0.39,0.5,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,74485,#N/A,#N/A,$0 ,0,0,0,0,0,0,0.14,0.14,0.14,0.14,0.21,0.21,0.08,,,,,,,,,,,,,0,0.08,,,,,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.08,,,,,,,,,,,,,0
Individual Project,74488,#N/A,#N/A,$0 ,7.27,7.27,7.27,9.77,9.77,9.77,11.93,11.93,11.93,15.06,15.07,15.07,11.01,,,,,,,,,,,,,0,11.01,,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.37,0.34,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0
,74527,13.5,Fit for Purpose,$0 ,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,,5.27,3.84,3.87,4.35,4.48,6.16,0,0,0,0,0,0,2.33,,,,,,,,,,,,,0
,96216,20.2,,"$50,000 ",0,0,0,0,0,0,0.34,0.34,0.34,0,0,0,0.09,,,,,,,,,,,,,0,0.09,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,96210,9,,"$1,100,000 ",,,,,,,,,,,,,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,96218,,,"$75,000 ",0,0,0,0,0,0,0,0,0,1,1,1,0.25,,,,,,,,,,,,,0,0.25,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,96207,,,"$165,000 ",0,0,0,0.25,0.25,0.25,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.13,0.24,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,65082,,,"$22,000 ",0,0,0,0,0,0,0,0,0,1,1,1,0.25,,,,,,,,,,,,,0,0.25,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,,0,#N/A,"$1,366,760 ",2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"$150,711,402 ",30.79,31.78,29.56,33.78,37.7,38.32,50.03,56.45,47.11,58.06,55.02,53.19,43.48,47.3,44.6,47,40.53,49.9,47.81,55.95,59.68,71.53,88.61,86.2,80.38,61.87,104.49,,70.02,66.42,84.07,94.11,89.01,89.16,87.33,80.65,77.71,78.89,78.09,72.81,80.69,62.63,61.28,62.53,70.46,74.42,70.26,95.17,94.29,88.1,85.32,53.62,49.95,72.34
Individual Project,74408,#N/A,#N/A,$0 ,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.33,,,,,,,,,,,,,0,0.33,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Gllobal,96040,1.3,Agile,$0 ,0,0,0,0,0,0.38,0.48,0.48,0.48,1.3,1.3,1.3,0.48,0,0,0,0,0,0.24,0.65,0.65,0.65,0.52,0.52,0.52,0.31,0.79,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Gllobal,74413,#N/A,#N/A,$0 ,1,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.16,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.15,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,,#N/A,#N/A,$0 ,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0.15,,,,,,,,,,,,,0,0.15,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,96124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.3,0.38,0.38,0.38,0.88,1.26,1.06,1.06,1.06,1.88,1.88,1.88,1.12,0.99,0.99,0.99,0.99,0.99,1.24,1.65,1.65,1.65,1.51,1.51,1.51,1.31,2.42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
,98005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
,98006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.19,0.19,0.12,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
,98009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,98010,,,,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,,,,,,,,,,,,,0,1.07,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
,98014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,98016,,#N/A,,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,,,,,,,,,,,,,0,0.13,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,98017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
,98019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0
,98022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34,4.34,4.34,3.84,3.84,3.84,3.84,3.84,3.84,3.59,3.59,3.59,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0
,98026,,Launch and Commercial Excellence,,2.27,2.27,2.27,4.44,4.44,4.44,5.06,5.06,5.06,3.39,3.39,3.39,3.79,,,,,,,,,,,,,0,3.79,,2.22,2.22,2.22,1.47,1.47,1.47,0.56,0.56,0.56,0.56,0.56,0.56,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
,98027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,98028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
,98029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,98031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,98032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
,98034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,98035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,98036,,Launch Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,4,4,4,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,98037,,Multi Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
,98038,,ACCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0
,98039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0
,98040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
,98041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
,98042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
,98043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
,98044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#N/A,,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,,,,,,,,,,,,,0,0.27,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,#N/A,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,,,,,,,,,,,0,0.07,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,#N/A,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,0,0.03,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,3.82,3.82,3.82,5.98,5.98,5.98,6.6,6.6,6.6,4.93,4.93,4.93,5.33,,,,,,,,,,,,,0,5.33,,13.25,13.25,13.25,15.68,15.68,15.68,14.56,14.56,14.56,13.36,13.36,13.36,14.21,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35.91,35.98,33.76,40.14,44.56,45.56,57.69,64.11,54.77,64.87,61.83,60,49.93,48.29,45.6,47.99,41.53,50.9,49.05,57.59,61.33,73.18,90.12,87.71,81.89,63.18,112.24,,83.27,79.67,97.32,109.79,104.69,104.84,101.89,95.21,92.27,92.25,91.45,86.17,94.9,62.63,61.28,62.53,70.46,74.42,70.26,95.17,94.29,88.1,85.32,53.62,49.95,72.34
,,,,,49.16,42.08,42.08,42.08,42.08,47.08,54.08,54.08,56.08,56.08,56.08,56.08,49.75,,,,,,,,,,,,,,49.75,,49.16,42.08,42.08,42.08,42.08,47.08,54.08,54.08,56.08,56.08,56.08,56.08,49.75,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Roche,Ext,Count ,,,,,,,,,,,,,,,,,,,,,,,,,,Roche,Ext,Count ,,,,,,,,,,,,,,,,,,,,,,
,,,,Projects above the line ,,9.46,8.75,36,,,,,,,,,,,,,,,,,,,,,,,,,,9.46,8.75,36,,,,,,,,,,,,,,,,,,,,,,
,,,,Projects below the line ,,39.02,53.13,103,,,,,,,,,,,,,,,,,,,,,,,,,,39.02,53.13,103,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,,,,,,,,,,,,,,,,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,,,,,,,,,,,,,
,,,,External ,48.29,45.6,47.99,41.53,50.9,49.05,57.59,61.33,73.18,90.12,87.71,81.89,61.26,,,,,,,,,,,,,,,,62.63,61.28,62.53,70.46,74.42,70.26,95.17,94.29,88.1,85.32,53.62,49.95,72.34,,,,,,,,,,,,,
,,,,Roche ,35.91,35.98,33.76,40.14,44.56,45.56,57.69,64.11,54.77,64.87,61.83,60,49.93,,,,,,,,,,,,,,,,83.27,79.67,97.32,109.79,104.69,104.84,101.89,95.21,92.27,92.25,91.45,86.17,94.9,,,,,,,,,,,,,
,,,,Capacity (Only Roche),49.16,42.08,42.08,42.08,42.08,47.08,54.08,54.08,56.08,56.08,56.08,56.08,49.75,,,,,,,,,,,,,,,,49.16,42.08,42.08,42.08,42.08,47.08,54.08,54.08,56.08,56.08,56.08,56.08,49.75,,,,,,,,,,,,,
,,,,Variance (Cap. vs Roche),13.25,6.09,8.31,1.93,-2.48,1.51,-3.61,-10.03,1.31,-8.79,-5.75,-3.93,-0.18,,,,,,,,,,,,,,,,-34.11,-37.59,-55.24,-67.71,-62.61,-57.77,-47.82,-41.14,-36.2,-36.18,-35.38,-30.1,-45.15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Excluding Projects below the line ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,,,,,,,,,,,,,,,,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,,,,,,,,,,,,,
,,,,External ,0,0,0,0,11.93,12.2,14.45,14.45,15.35,12.19,12.19,12.19,8.75,,,,,,,,,,,,,,,,21.15,21.15,22.23,22.23,28.56,28.84,29.2,29.2,28.29,25.13,25.13,25.13,25.52,,,,,,,,,,,,,
,,,,Roche ,3.92,3.79,3.66,5.93,11.59,11.59,12.89,12.75,12.69,11.8,11.63,11.29,9.46,,,,,,,,,,,,,,,,36.53,36.4,36.81,38.56,38,37.82,34.99,35.09,35.38,34.31,34.12,30.78,35.73,,,,,,,,,,,,,
,,,,Capacity (Only Roche),49.16,42.08,42.08,42.08,42.08,47.08,54.08,54.08,56.08,56.08,56.08,56.08,49.75,,,,,,,,,,,,,,,,49.16,42.08,42.08,42.08,42.08,47.08,54.08,54.08,56.08,56.08,56.08,56.08,49.75,,,,,,,,,,,,,
,,,,Variance (Cap. vs Roche),45.24,38.29,38.42,36.15,30.49,35.49,41.19,41.33,43.39,44.28,44.45,44.79,40.29,,,,,,,,,,,,,,,,12.63,5.68,5.26,3.52,4.08,9.26,19.09,18.99,20.7,21.77,21.96,25.3,14.02,,,,,,,,,,,,,
