projectIndicator,projectNo,program,r_t3_jan_2015,r_t3_feb_2015,r_t3_mar_2015,r_t3_apr_2015,r_t3_may_2015,r_t3_jun_2015,r_t3_jul_2015,r_t3_aug_2015,r_t3_sep_2015,r_t3_oct_2015,r_t3_nov_2015,r_t3_dec_2015,Roche,e_t3_jan_2015,e_t3_feb_2015,e_t3_mar_2015,e_t3_apr_2015,e_t3_may_2015,e_t3_jun_2015,e_t3_jul_2015,e_t3_aug_2015,e_t3_sep_2015,e_t3_oct_2015,e_t3_nov_2015,e_t3_dec_2015,External,Total,r_curr_jan_2015,r_curr_feb_2015,r_curr_mar_2015,r_curr_apr_2015,r_curr_may_2015,r_curr_jun_2015,r_curr_jul_2015,r_curr_aug_2015,r_curr_sep_2015,r_curr_oct_2015,r_curr_nov_2015,r_curr_dec_2015,Roche,e_curr_jan_2015,e_curr_feb_2015,e_curr_mar_2015,e_curr_apr_2015,e_curr_may_2015,e_curr_jun_2015,e_curr_jul_2015,e_curr_aug_2015,e_curr_sep_2015,e_curr_oct_2015,e_curr_nov_2015,e_curr_dec_2015,External
Global,96069,Fit for Purpose,0,0,0,1,1,1,0,0,0,0,0,0,0.25,0,0,0,1,1,1,0,0,0,0,0,0,0.25,0.5,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Global,96133,Launch and Commercial Excellence,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Expense,96136,Fit for Purpose,0,0,0,0,0,0,2.26,2.26,2.26,2.26,2.26,2.26,1.13,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0.04,1.17,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Expense,96139,Exceptional Culture,0.25,0.25,0.25,0.25,0.25,0.25,1,1,1,1,1,1,0.63,0,0,0,0.1,0.1,0.1,1.99,1.99,1.99,3.97,3.97,3.97,1.51,2.14,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,96165,Reliability and Value,0,0,0,0,0,0,0,0.05,0.03,0,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,97003,Reliability and Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,97012,Fit for Purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,97054,Reliability and Value,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,96211,Reliability and Value,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,2,2,1,1,1,0,0,0,0,0,0,0.75,2,2,2,1,1,1,0,0,0,0,0,0,0.75
,96212,Reliability and Value,,,,,,,,,,,,,0,,,,,,,,,,,,,,,3,3,3,3,3,3,1,1,1,0,0,0,1.75,4,4,4,4,4,4,1,1,1,0,0,0,2.25
,96213,Fit for Purpose,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0,3,3,3,3,3,3,1.5,0,0,0,0,0,0,3,3,3,3,3,3,1.5
,96221,Reliability and Value,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.38,,,,,,,,,,,,,0
,96210,TBD,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.13
,96209,Highly Capable Workforce,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,0,0,0.25,,,,,,,,,,,,,0
,96219,Highly Capable Workforce,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0.19,,,,,,,,,,,,,0
,96222,Highly Capable Workforce,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,,0
,97071,Highly Capable Workforce,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,,,,,,,0
,96139,Exceptional Culture,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0.06,,,,,,,,,,,,,0
,96217,Highly Capable Workforce,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0.06,,,,,,,,,,,,,0
,96181,Highly Capable Workforce,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0.06,,,,,,,,,,,,,0
,97070,Highly Capable Workforce,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0,3,3,3,3,3,3,1.5,,,,,,,,,,,,,0
,96183,TBD,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0.25,,,,,,,,,,,,,0
,97045,Reliability and Value,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.1,0.1,0.1,0.05,0.05,0.05,0,0,0,0,0,0,0.04,,,,,,,,,,,,,0
,97038,Reliability and Value,,,,,,,,,,,,,0,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
,,#N/A,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,#N/A,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,#N/A,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,#N/A,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,#N/A,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,#N/A,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,#N/A,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,#N/A,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,#N/A,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,#N/A,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,#N/A,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,#N/A,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11.6,11.42,11.37,13.79,13.5,13.05,18.31,19.04,19.83,24,24.09,23.8,16.98,10.42,9.83,9.33,8.89,9.71,11.65,14.45,13.38,16.35,21.97,20.59,19.93,13.88,19.14,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,96124,Launch and Commercial Excellence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,98005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,98006,Reliable,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,,,,,,,,,,,,,0,0.96,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,98009,Multi Product,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,,,,,,,,,,,,0,0.06,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,98010,0,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,,,,,,,,,,,,,0,1.07,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,98014,Multi Product,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,,,,,,,,,,,,,0,0.21,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,98016,#N/A,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,,,,,,,,,,,,,0,0.13,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,98017,Multi Product,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,0,0.2,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,98019,Multi Product,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,0,0.6,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,98022,ACCR,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,0,0.6,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,98026,Launch and Commercial Excellence,2.27,2.27,2.27,4.44,4.44,4.44,5.06,5.06,5.06,3.39,3.39,3.39,3.79,,,,,,,,,,,,,0,3.79,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,98027,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,,,,,,,,,,,0,0.9,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,98028,Reliable,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,,,,,,,0,0.25,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,98029,ACCR,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,,,,,,,,,,,,,0,1.08,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,98034,Multi Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,98036,Launch Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,98037,Multi Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,98038,ACCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,98039,Reliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,98041,ACCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,98042,Agile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,98043,ACCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,98044,ACCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,,#N/A,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,,,,,,,,,,,,,0,0.27,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,#N/A,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,,,,,,,,,,,0,0.07,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,#N/A,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,0,0.03,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,,,8.68,8.68,8.68,10.84,10.84,10.84,11.46,11.46,11.46,9.79,9.79,9.79,10.19,,,,,,,,,,,,,0,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,10.42,9.83,9.33,8.89,9.71,11.65,14.45,13.38,16.35,21.97,20.59,19.93,13.88,29.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,49.16,42.08,42.08,42.08,42.08,47.08,54.08,54.08,56.08,56.08,56.08,56.08,49.75,,,,,,,,,,,,,,49.75,49.16,42.08,42.08,42.08,42.08,47.08,54.08,54.08,56.08,56.08,56.08,56.08,49.75,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Roche,Ext,Count ,,,,,,,,,,,,,,,,,,,,,,,,,Roche,Ext,Count ,,,,,,,,,,,,,,,,,,,,,,
,,,,7.39,0,21,,,,,,,,,,,,,,,,,,,,,,,,,7.39,0,21,,,,,,,,,,,,,,,,,,,,,,
,,,,19.56,18.02,53,,,,,,,,,,,,,,,,,,,,,,,`,,19.56,18.02,53,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,,,,,,,,,,,,,,,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,,,,,,,,,,,,,
,,,10.42,9.83,9.33,8.89,9.71,11.65,14.45,13.38,16.35,21.97,20.59,19.93,13.88,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,,49.16,42.08,42.08,42.08,42.08,47.08,54.08,54.08,56.08,56.08,56.08,56.08,49.75,,,,,,,,,,,,,,,49.16,42.08,42.08,42.08,42.08,47.08,54.08,54.08,56.08,56.08,56.08,56.08,49.75,,,,,,,,,,,,,
,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,49.16,42.08,42.08,42.08,42.08,47.08,54.08,54.08,56.08,56.08,56.08,56.08,49.75,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,,,,,,,,,,,,,,,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,6.5,6.5,6.5,5,5,5,4,4,4,3,3,3,4.63,,,,,,,,,,,,,
,,,5.87,5.87,5.87,8.04,8.04,8.04,8.66,8.66,8.66,6.99,6.99,6.99,7.39,,,,,,,,,,,,,,,5.5,6.5,6.5,5.5,4.5,4.5,4.25,4.25,4.25,3.25,3.25,3.25,4.63,,,,,,,,,,,,,
,,,49.16,42.08,42.08,42.08,42.08,47.08,54.08,54.08,56.08,56.08,56.08,56.08,49.75,,,,,,,,,,,,,,,49.16,42.08,42.08,42.08,42.08,47.08,54.08,54.08,56.08,56.08,56.08,56.08,49.75,,,,,,,,,,,,,
,,,43.29,36.2,36.2,34.04,34.04,39.04,45.42,45.42,47.42,49.09,49.09,49.09,42.36,,,,,,,,,,,,,,,43.66,35.58,35.58,36.58,37.58,42.58,49.83,49.83,51.83,52.83,52.83,52.83,45.12,,,,,,,,,,,,,
